Number,Question,What was the problem type?,What was the problem?,How would you fix it?,Answer,Commit,Comment
1,"drop table if exists Recipes; drop table if exists Users; create table Users (user_id varchar(128) primary key, email varchar(128) not null, name varchar(128) not null, last_login datetime not null); create table Recipes (recipe_id char(6) primary key, name varchar(128) not null, passhash char(32) not null);",fix,The schema script drops and recreates the tables every time it runs permanently destroying all existing data on each execution,Remove the DROP TABLE statements and use CREATE TABLE IF NOT EXISTS instead of CREATE TABLE so the script is safe to run on an already-populated database,"create table if not exists Users (user_id varchar(128) primary key, email varchar(128) not null, name varchar(128) not null, last_login datetime not null); create table if not exists Recipes (recipe_id char(6) primary key, name varchar(128) not null, passhash char(32) not null);",f1bcbe3ab06e44c1a18326e2d102e91d471c1037,Destructive DDL scripts that drop tables should always be guarded; use IF NOT EXISTS for idempotent schema creation
2,"SELECT user_id, stream_ordering, topological_ordering, room_id, event_id, type, profile_tag, actions, last_stream_ordering_actioned_by_target_device FROM event_push_actions WHERE user_id = ? AND stream_ordering > ? ORDER BY stream_ordering ASC LIMIT 10;",performance,Without an index on stream_ordering and user_id any query filtering or ordering by these columns performs a full table scan which is slow as the table grows,Add a composite index on the frequently-queried columns,"CREATE INDEX event_push_actions_stream_ordering ON event_push_actions(stream_ordering, user_id);",96bcfb29c7b8cb04f4b887c518016cb968645cb9,Always add indexes on columns used in WHERE clauses and ORDER BY; a composite index covering both columns is especially efficient here
3,add additional index to speed up combined pre/post queries,performance,"ANNIS commit: combined pre/post column queries had no dedicated index covering both columns together, forcing a wide scan instead of an index seek for these combined-condition lookups.","Add an additional index that covers the combined pre and post columns together, matching the exact access pattern of the query.","CREATE INDEX idx_pre_post ON annotation_nesting (pre, post);",3effb536965ad91615896adc4a1f8f5ae95ff2ac,"Multicolumn indexes should match the exact columns used together in WHERE/ORDER BY, not just each column separately."
4,Add multicolumn indexes on votes and notifications tables,performance,"The pkg_search_page() function repeatedly joined the votes and notifications tables on TWO columns together (user_id and package_id). With no composite index covering both, MySQL had to scan rows to match each pair instead of jumping directly to them.","Create composite (multicolumn) indexes on the (user_id, package_id) pairs in both tables, so the JOIN condition resolves via a direct index lookup.","CREATE INDEX idx_votes_user_pkg ON votes (user_id, package_id); CREATE INDEX idx_notifications_user_pkg ON notifications (user_id, package_id);",e2b3bd1c37d91a747e8f774bbb91aad3dc466c68,Same pattern as our own director_per_2movies fix in Assignment 8: a multicolumn index matching the exact join/sort columns removes the need for a full scan.
5,Switched checksum table to MyISAM. Load speed has dramatically improved,performance,"The checksum table used the default storage engine (InnoDB), which has higher write overhead for bulk-load operations than MyISAM, making large data loads slow.","Switch the table's storage engine to MyISAM for this specific bulk-load use case, where transactional integrity is less critical than raw load speed.",ALTER TABLE checksum ENGINE = MyISAM;,26cb6033063af0590601365a4eaf34cccbb9d5c8,"Storage engine choice is itself a performance lever; MyISAM trades transactional safety for faster bulk writes, appropriate for load-heavy, less transactional tables."
6,"create table `project__template_backup_385025846` ( id int, removed boolean default false );",fix,"The backup table was created with an id column that has no PRIMARY KEY. Nothing prevents duplicate or NULL ids, so a backup row cannot be identified reliably and a restore may write the same record twice or fail to find it at all.","Declare the identifying column as PRIMARY KEY at creation time, which enforces both uniqueness and NOT NULL in a single constraint.","create table `project__template_backup_385025846` ( id int primary key, removed boolean default false );",d60323ea26fb14cb46ad3ea0f0ceb00abb5bfa2c,"Every table needs a key. A backup or staging table is not an exception: it is exactly where duplicates go unnoticed, because nobody queries it until a restore is needed."
7,"INDEX `uuid` (`tag_collection_id`), INDEX `user_id` (`tag_id`)",fix,"The index names were copied from another table and no longer describe the columns they cover. An index named uuid actually indexes tag_collection_id, and one named user_id indexes tag_id. Anyone reading the schema, or reading an execution plan that reports the index name, is actively misled.","Rename each index after the column or columns it actually covers, so the name in the plan matches the access path it represents.","INDEX `tag_collection_id` (`tag_collection_id`), INDEX `tag_id` (`tag_id`)",e1281d65bc3939b51c2da886959023c9aa0791cd,"A misleading name is worse than no name. The checking guideline of the course makes the same point: bad names are a major problem that hinders understanding of the system, since code is written once and read many times."
8,tick integer REFERENCES updates(tick) DEFAULT (SELECT max(tick) FROM updates),fix,"A DEFAULT expression cannot contain a subquery. A default is evaluated per inserted row without a query context, so the whole CREATE TABLE fails and the table is never created.","Move the lookup into a function and call it in the DEFAULT clause, so the value is computed at insert time through a valid expression.",tick integer REFERENCES updates(tick) DEFAULT max_tick(),3a5a068500ac37d387f759d799f6c112a6e75da8,"DEFAULT accepts an expression, not a query. When a default has to depend on other rows, the dependency belongs in a function or a trigger."
9,"ALTER TABLE ""user"" user_login_id_key UNIQUE (login_id);",fix,"The ADD CONSTRAINT keywords are missing, so the statement is not valid SQL. The migration script aborts at this line, and because the preceding ALTER and UPDATE already ran, the database is left half migrated.","Write the full ADD CONSTRAINT syntax, and run migration scripts inside a transaction so a failure rolls back rather than leaving a partial state.","ALTER TABLE ""user"" ADD CONSTRAINT user_login_id_key UNIQUE (login_id);",d2ae694b1e1df698cf4e5fe5e74bc81aa5e01428,"A syntax error in the middle of a migration is more dangerous than one at the start, because the earlier statements have already changed the schema."
10,"create table queries ( queries_id serial primary key, start_date date not null, end_date date not null, generate_page boolean not null, creation_date timestamp not null default now(), description text null );",fix,"generate_page is NOT NULL but has no DEFAULT. Every INSERT that does not mention the column explicitly fails, which breaks existing code that was written before the column was added.","Pair NOT NULL with a DEFAULT whenever the column is not supplied by every writer, so the constraint protects the data without breaking the callers.",generate_page boolean not null default false,466bd572bb0e68a9c3597ec09b256531896848f9,NOT NULL and DEFAULT solve two different problems and are usually needed together. NOT NULL states that a value must exist; DEFAULT states what it is when nobody supplies one.
11,CREATE TABLE `nagios_acknowledgements` ( ... PRIMARY KEY (`acknowledgement_id`) ) ENGINE=InnoDB;,performance,"The only index was the primary key on the surrogate id. The monitoring queries filter by entry_time together with object_id and acknowledgement_type, so every such lookup scanned the whole table, and this table grows continuously as events accumulate.","Add a composite index on the columns the queries actually filter by, in the order they are used, so the lookup becomes an index seek instead of a full scan.","KEY `entry_time` (`entry_time`,`object_id`,`acknowledgement_type`)",fdd7c46651039d119d7f8357643130e6c3054e5d,"A primary key indexes what identifies the row, not what the queries search by. Same pattern as our own director_per_2movies fix in Assignment 8: the index has to match the actual access path."
12,WHERE liner_from is not null OR liner_to IS NOT NULL OR liner_diameter IS NOT NULL OR perforation_misc IS NOT NULL OR liner_thickness IS NOT NULL OR liner_perforation_from IS NOT NULL OR liner_perforation_to IS NOT NULL;,performance,"A chain of OR conditions over six columns. The optimiser cannot use one index to satisfy an OR across different columns, so it falls back to a full scan and evaluates every predicate on every row.","Apply De Morgan and rewrite the OR chain as a single negated AND, which expresses ""at least one value is present"" as one condition instead of six alternatives.",WHERE NOT (liner_from is null AND liner_to IS NULL AND liner_diameter IS NULL AND liner_thickness IS NULL AND liner_perforation_from IS NULL AND liner_perforation_to IS NULL);,ab99d5634231cc8934dc789de7041568f9954b0a,"How a condition is written changes the plan, not only its readability. OR across several columns is one of the most common reasons an index goes unused."
