Number,Question,What was the problem type?,What was the problem?,How would you fix it?,Answer,Commit,Comment
1,"`surveyls_language` varchar(45) NULL DEFAULT 'en',",Data Integrity,"The column is nullable, so an explicit NULL bypasses the default and stores a survey with no language. Comparisons on the column then silently fail.",Add NOT NULL so the default is the only fallback.,"`surveyls_language` varchar(45) NOT NULL DEFAULT 'en',",ffb3d9410fa8d9d78492f8b72a3571cef11b23e5,LimeSurvey. A DEFAULT does not block an explicit NULL.
2,"`reaction` varchar(1) NOT NULL COMMENT 'Emoji Reaction',",Data Integrity,"An emoji is not one character in the encoding, so valid reactions were rejected with 'Data too long for column'. The column width did not match the real domain.",Widen the column to varchar(4).,"`reaction` varchar(4) NOT NULL COMMENT 'Emoji Reaction',",03e831b6075c720d1318cb583c80d7ae47d64000,Friendica. Column width must fit the true domain of the values.
3,"PRIMARY KEY (`battlenetAccountId`,`blobIndex`),",Data Integrity,"The composite key names the wrong second column. Uniqueness is enforced on the wrong combination, so distinct outfits collide while true duplicates pass.",Replace blobIndex with transmogOutfitId in the key.,"PRIMARY KEY (`battlenetAccountId`,`transmogOutfitId`),",db698348387168d5eac6c26e8f843d4d147a8452,TrinityCore. A composite key must name the columns that identify the row.
4,UPDATE `%TABLE_PREFIX%thread_entry` SET `flags` = 1 WHERE `id` IN (SELECT `id` FROM `%TABLE_PREFIX%_orig_msg_ids`);,Performance,"The IN subquery prevents the optimizer from using an efficient join, so the migration scales poorly on large installations.",Rewrite as a multi-table UPDATE with an explicit JOIN.,UPDATE `%TABLE_PREFIX%thread_entry` A1 JOIN `%TABLE_PREFIX%_orig_msg_ids` A2 ON (A1.id = A2.id) SET A1.`flags` = 1 ;,c8400d951f89e52b23728c8a12903b71a4fa2c0c,osTicket. The IN-subquery to JOIN rewrite applies to UPDATE too.
5,"reveue_code_source_value    VARCHAR(50)    NULL,",Bug,Typo in the column name ('reveue'). In a shared standard schema every query written against the documented name fails with unknown column.,Correct the spelling to revenue_code_source_value.,"revenue_code_source_value    VARCHAR(50)    NULL,",7128f1befeca5c780673b39a3826f01ae0ee83ad,OHDSI CDM. A typo in a shared model breaks every consumer.
6,"`playerDataElementCharacterId` int unsigned NOT NULL, PRIMARY KEY (`battlenetAccountId`,`playerDataElementCharacterId`)",Bug,"The table stores account-level data but the column and key refer to a character. Account data is keyed as if it belonged to one character, partitioning rows wrongly.",Rename to playerDataElementAccountId and update the key.,"`playerDataElementAccountId` int unsigned NOT NULL, PRIMARY KEY (`battlenetAccountId`,`playerDataElementAccountId`)",7bf5207054ff77efa6d7737b903ec911f4073a52,TrinityCore. Column name and key must match the entity of the table.
7,"`borrowernumber` int(11) NULL,",Fix,"Non-standard nullability syntax, and the foreign key column used for joins has no index, so every join falls back to a full scan.",Use DEFAULT NULL and add the missing KEY on the join column.,"`borrowernumber` int(11) DEFAULT NULL, KEY `items_last_borrower_ibfk_1` (`itemnumber`),",a37d887df6539cc888c46edc252c7d2d47b318b0,Koha. A join target column should carry an index.
8,MODIFY `Duration` bigint NULL DEFAULT 0 AFTER `CloseSoundKitId`,Fix,"A missing comma joins this clause to the next one, causing a syntax error that aborts the migration and every statement after it in the file.",Add the missing comma at the end of the clause.,"MODIFY `Duration` bigint NULL DEFAULT 0 AFTER `CloseSoundKitId`,",aead8db7cab47748f51f01389a8d86189f5203c0,TrinityCore. One missing separator invalidates the whole file.
9,ALTER TABLE `gm_tickets` ADD `closed` bit(1) NOT NULL AFTER `timestamp`; ALTER TABLE `gm_tickets` CHANGE `closed` `closed` tinyint(1) NOT NULL default '0';,Bug,"The column is added with the wrong type and no default, then corrected. Existing rows are populated under the wrong type, so the default never reaches them.",Add the column with its final type and default in one statement.,ALTER TABLE `gm_tickets` ADD `closed` tinyint(1) NOT NULL default '0' AFTER `timestamp`;,3858dab58baebfdf7148eb6b56bea359bcf72526,TrinityCore. A migration should not pass through an invalid state.
10,"`updated_at` int unsigned NOT NULL COMMENT 'timestamp of the last update',",Data Integrity,"NOT NULL with no default forces a fabricated value (typically zero) for rows never updated, and zero is indistinguishable from a real timestamp when filtering or sorting.",Allow NULL so 'never updated' is represented explicitly.,"`updated_at` int unsigned COMMENT 'timestamp of the last update',",0d6a4c8951f2cb5af72804c9584ca5b685beb1d8,Friendica. NOT NULL is wrong when absence is a legitimate state.
